I am a boy.	Yo soy un niño.
The boy, the girl	El niño, la niña.
A girl	Una niña.
I am a man	Yo soy un hombre.
The woman	La mujer.
The man	El hombre.
A man	Un hombre.
A woman	Una mujer.
I am a woman	Yo soy una mujer.
I am a girl	Yo soy una niña.
He eats	Él come.
She eats	Ella come.
She is a girl	Ella es una niña.
You are a woman	Tú eres una mujer.
You eat	Usted come.
He is a man	Él es un hombre.
You are a girl	Tú eres una niña.
You are a man	Usted es un hombre.
An apple	Una manzana.
She is a woman	Ella es una mujer.
She drinks milk	Ella bebe leche.
I drink water	Yo bebo agua.
You eat bread.	Tú comes pan.
I eat bread	Yo como pan.
You drink	Tú bebes.
You drink milk	Tú bebes leche.
He drinks water	Él bebe agua.
The bread	El pan.
The water	El aqua.
He drinks milk	Él bebe leche.
You eat an apple	Tú comes una manzana.
You drink water	Tú bebes agua.
The man drinks milk	El hombre bebe leche.
Thank you, goodbye	Gracias, adiós.
Hello, good morning	Hola, buenos días.
Goodbye, good night	Adiós, buenas noches.
Hello, nice to meet you.	Hola, mucho gusto.
No, thank you.	No, per favor.
Yes, I am sorry	Sí, ¡lo siento!
Yes, you're welcome	Si, de nada.
pardon	Perdon.
Mo excuse me	No perdon.
Per favor no	Please no.
I do not speak Spanish.	Yo no hablo español.
I speak English.	Yo hablo inglés.
Do you speak English?	¿Tú hablas inglés?
Do you speak Spanish. 	¿Tú hablas español?
Thank you. Thank you, excuse me.	Gracias, disculpe.
Hello, excuse me.	Hola, disculpe.
I speak English.	Yo hablo inglés.
The suitcase	La maleta.
The taxi	El taxi.
The telephone	El teléfono.
The passport	El pasaporte.
I need water.	Yo necesito agua.
I need my suitcase.	Yo necesito mi maleta.
Here, please.	Aquí, por favor.
I need a reservation.	Yo necesito una reserva.
I need a hotel.	Yo necesito un hotel.
In the suitcase.	En la maleta.
Where?	¿Dónde?
I have a passport.	Yo tengo un pasaporte.
The money.	El dinero.
The airport.	El aeropuerto.
The train.	El tren. 
In the bus.	En el autobús.
Where is your passport?	¿Dónde está tu pasaporte?
I need a ticket.	Yo necesito un boleto.
A bus.	Un autobús.
A ticket please.	Un boleto, por favor.
In the street.	En la calle. 
The bathroom is here.	El baño está aquí.
A bank.	Un banco.
A museum.	Un museo.
A supermarket.	Un supermercado.
Where is the hospital?	¿Dónde está el hospital?
The table.	La mesa.
The restaurant.	El restaurante.
The people.	Las personas.
One two three!	¡Uno, dos, tres!
A table for two, please.	Una mesa para dos, por favor. 
The restaurant is closed.	El restaurante está cerrado.
For three people.	Para tres personas. 
The fish.	El pescado.
The meat.	La carne.
The cheese.	El queso.
The sandwich.	El sándwich.
A hamburger please.	Una hamburguesa, por favor.
A meat sandwich.	Un sándwich de carne.
Con queso. With cheese.
A fish burger.	Una hamburguesa de pescado.
The cup.	La taza.
The sugar.	El azúcar.
The orange.	La naranja. 
The coffee.	El café.
The juice.	El jugo.
The glass.	Un vaso.
Without milk, please.	Sin leche, por favor.
The tomato.	El tomate.
The salt.	La sal.
Meat or fish?	¿Carne o pescado? 
The bill please.	La cuenta, por favor.
A salad.	Una ensalada.
I need to pay.	Yo necesito pagar.
I want to pay.	Yo quiero pagar.
A green shirt.	Una camisa verde.
I need clothes.	Yo necesito ropa.
A store.	Una tienda.
A blue jacket.	Una chaqueta azul.
I want a jacket.	Yo quiero una chaqueta.
I need a shirt.	Yo necesito una camisa.
Green or blue?	¿Verde o azul?
I need a t-shirt.	Yo necesito una camiseta.
I want to buy a jacket.	Yo quiero comprar una chaqueta.
Grey or brown.	¿Gris o marrón?
Yes, this hat.	Sí, este sombrero.
A dress.	Un vestido.
